1,"Bitcoin","$535,745,489,798","$27,658.00","19,387,256","$17,476,999,469","1.48 %",2023-05-29 15:41:29.800556
2,"Ethereum","$226,971,462,623","$1,890.82","120,254,303","$8,561,582,661","2.58 %",2023-05-29 15:41:29.800556
3,"Tether","$82,981,483,266","$1.00","83,127,088,775","$14,131,587,966","-0.01 %",2023-05-29 15:41:29.800556
4,"BNB","$49,486,461,456","$313.94","157,886,280","$591,063,480","1.92 %",2023-05-29 15:41:29.800556
5,"USD Coin","$29,025,271,821","$1.00","29,047,727,086","$4,156,610,042","-0.07 %",2023-05-29 15:41:29.800556
6,"XRP","$24,946,034,335","$0.48","51,983,386,003","$919,473,427","1.72 %",2023-05-29 15:41:29.800556
7,"Cardano","$13,181,986,725","$0.38","35,045,020,830","$204,491,118","0.18 %",2023-05-29 15:41:29.800556
9,"Dogecoin","$10,190,117,593","$0.07","139,547,126,384","$240,889,317","0.66 %",2023-05-29 15:41:29.800556
10,"Polygon","$8,556,238,586","$0.92","9,279,469,069","$258,165,285","0.20 %",2023-05-29 15:41:29.800556
11,"Solana","$8,146,001,558","$20.59","396,462,721","$301,828,929","0.52 %",2023-05-29 15:41:29.800556
12,"TRON","$6,919,217,908","$0.08","90,257,920,421","$312,585,606","-0.27 %",2023-05-29 15:41:29.800556
13,"Polkadot","$6,722,837,376","$5.44","1,237,186,447","$109,857,363","0.83 %",2023-05-29 15:41:29.800556
14,"Litecoin","$6,645,984,136","$91.03","73,027,946","$484,867,744","1.90 %",2023-05-29 15:41:29.800556
15,"Binance USD","$5,250,051,935","$1.00","5,276,149,035","$1,548,687,797","-0.11 %",2023-05-29 15:41:29.800556
16,"Shiba Inu","$5,173,531,863","$0.00","589,344,415,611,590","$93,305,701","0.39 %",2023-05-29 15:41:29.800556
17,"Avalanche","$4,992,906,239","$14.52","343,959,225","$163,056,589","0.17 %",2023-05-29 15:41:29.800556
18,"Dai","$4,615,098,513","$1.00","4,623,786,189","$106,563,001","-0.09 %",2023-05-29 15:41:29.800556
